journal	year	authors	title	language	wordcount	doctype	doi	citation_counts	S2titles	S2years	condition	matchstrength	S2journal	S2authors	new_cite_count
The Modern Language Review	1953	['A. Gillies']	Review Article	['eng']	1257	article | book-review	10.2307/3719207	3	Geist und Form. Aufsatze zur deutschen Literaturgeschichte		not citable	0.0	NA	NA	3
Modern Philology	1960	['Dewey Ganzel']	"Bulwer and His ""Lady"""	['eng']	7711	article | research-article	10.2307/435583	0	"Bulwer and His ""Lady"""	1960	found	1.12	Modern Philology	Dewey Ganzel	0
The Modern Language Review	1970	['A. Closs']	Review Article	['eng']	1794	article | book-review	10.2307/3723601	0	Stoff- und Motivgeschichte@@@Neue deutsche Epik	1970-04-01	not citable	0.0	NA	NA	0
The Modern Language Review	1978	['Terence Allott']	Review Article	['eng']	1274	article | book-review	10.2307/3727625	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1971	['D. J. Palmer']	Review Article	['eng']	1189	article | book-review	10.2307/513286	0		no date	not citable	0.0	NA	NA	0
PMLA	2000	['Cary Nelson']	Graduate Studies and the Job Market	['eng']	1747	article | research-article	10.2307/463300	3	Graduate Studies and the Job Market	2000-10-01	already found	0.0	NA	NA	3
PMLA	1956	['F. W. J. Hemmings']	Zola's Apprenticeship to Journalism (1865-70)	['eng']	7705	article | research-article	10.2307/460707	2	Zola's Apprenticeship to Journalism (1865–70)	1956-06-01	already found	0.0	NA	NA	2
The Review of English Studies	2015	['KATHRYN SUTHERLAND']	"FROM KITTY TO CATHARINE: JAMES EDWARD AUSTEN'S HAND IN ""VOLUME THE THIRD"""	['eng']	10171	article | research-article	10.2307/24541205	0	From Kitty to Catharine: James Edward Austen’s hand in Volume the Third	2015	found	1.1	The Review of English Studies	K. Sutherland	8
Modern Philology	1961	['Mark Spilka']	Review Article	['eng']	1662	article | book-review	10.2307/434940	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1959	['anonymous']	Front Matter	['eng']	343	article | misc	10.2307/435333	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1906	['George L. Marsh']	"Sources and Analogues of ""The Flower and the Leaf."" Part I"	['eng']	18131	article | research-article	10.2307/432602	0	"Sources and Analogues of ""The Flower and the Leaf."" Part I"	1906	found	1.12	Modern Philology	G. Marsh	3
Modern Philology	1988	['Henry Kozicki']	Review Article	['eng']	2520	article | book-review	10.2307/437564	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1937	['S. D. Stirk']	"A Note on Gerhart Hauptmann's ""Hamlet in Wittenberg"""	['eng']	1153	article | research-article	10.2307/3715264	2	"A Note on Gerhart Hauptmann's ""Hamlet in Wittenberg"""	1937-10-01	already found	0.0	NA	NA	2
Modern Philology	1986	['anonymous']	Back Matter	['eng']	906	article | misc	10.2307/437402	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1966	['James L. Sanderson']	Epigrames p[er] B[enjamin] R[udyerd] and Some More 'Stolen Feathers' of Henry Parrot	['eng']	6020	article | research-article	10.2307/511982	0		no date	no strong match	0.0	NA	NA	0
The Modern Language Review	1999	['Josephine M. Guy']	Review Article	['eng']	1201	article | book-review	10.2307/3737147	0	The Letters of Matthew Arnold. Vol. II: 1860-1865	1999-04-01	not citable	0.0	NA	NA	0
The Modern Language Review	1962	['H. G. Barnes']	Review Article	['eng']	1191	article | book-review	10.2307/3721013	0	Kindred by choice		not citable	0.0	NA	NA	0
ELH	1985	['Lee Erickson']	The Poets' Corner: The Impact of Technological Changes in Printing on English Poetry, 1800-1850	['eng']	8498	article | research-article	10.2307/3039471	3	The Poets' Corner: The Impact of Technological Changes in Printing on English Poetry, 1800-1850	1985-01-24	already found	0.0	NA	NA	3
ELH	1953	['David Perkins']	Johnson on Wit and Metaphysical Poetry	['eng']	7119	article | research-article	10.2307/2871998	0	Johnson on Wit and Metaphysical Poetry	1953	found	1.12	ELH	D. Perkins	0
The Review of English Studies	1964	['J. B. B.']	Review Article	['eng']	680	article | book-review	10.2307/513457	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1921	['Hope Emily Allen']	"The ""Ancren Riwle"" and Kilburn Priory"	['eng']	3144	article | research-article	10.2307/3713922	0	"The ""Ancren Riwle"" and Kilburn Priory"	1921	found	1.0	no journal listed	H. E. Allen	0
The Review of English Studies	2014	['EDWEARD LARRISSY']	Review Article	['eng']	1307	article | book-review	10.2307/24541102	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1989	['anonymous']	Front Matter	['eng']	1051	article | misc	10.2307/516335	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1991	['Joshua Scodel']	Review Article	['eng']	1587	article | book-review	10.2307/438113	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1945	['D. J. Gordon']	Review Article	['eng']	388	article | book-review	10.2307/509591	0		no date	not citable	0.0	NA	NA	0
PMLA	2002	['Bruce Boehrer']	"""Lycidas"": The Pastoral Elegy as Same-Sex Epithalamium"	['eng']	9989	article | research-article	10.2307/823270	0	“Lycidas”: The Pastoral Elegy as Same-Sex Epithalamium	2002	found	1.08	PMLA/Publications of the Modern Language Association of America	B. Boehrer	13
The Modern Language Review	1914	['W. W. Greg']	Review Article	['eng']	2161	article | book-review	10.2307/3713015	4	Cynthia's Revels, or, The Fountain of Self-Love by Ben Jonson	1914-04-01	not citable	0.0	NA	NA	4
Modern Philology	2005	['Manuel Alonso']	Review Article	['eng']	1718	article | book-review	10.1086/433224	0	Brecht’s Poetry of Political Exile. Edited by Ronald Speirs. Cambridge: Cambridge University Press, 2000. Pp. xii+257.	2005-05-01	not citable	0.0	NA	NA	0
The Modern Language Review	1973	['Victor Dixon']	Review Article	['eng']	1297	article | book-review	10.2307/3725035	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2002	['Sarah Colvin']	Review Article	['eng']	1185	article | book-review	10.2307/3736948	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2007	['John A. Dussinger']	Review Article	['eng']	684	article | book-review	10.2307/20467572	38	Pamela in the marketplace : literary controversy and print culture in eighteenth-century Britain and Ireland	2007-10-01	not citable	0.0	NA	NA	38
The Modern Language Review	1989	['Keith Bullivant']	Review Article	['eng']	1230	article | book-review	10.2307/3731269	0	Heinrich Boll: A German for His Time	1989-10-01	not citable	0.0	NA	NA	0
The Review of English Studies	2016	['DAVID WORRALL']	Review Article	['eng']	1178	article | book-review	10.2307/44016501	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1913	['G. C. Moore Smith']	John Mason and Edward Sharpham	['eng']	1130	article | research-article	10.2307/3712689	0	John Mason and Edward Sharpham	1913	found	1.0	Modern Language Review	G. M. Smith	0
The Modern Language Review	1993	['Elizabeth Woodrough']	Review Article	['eng']	1907	article | book-review	10.2307/3730842	0	Les Amities parisiennes au Grand Siecle: Mme de Lafayette et Mme de Sevigne (1648-1693)@@@Themes and Images in the Fictional Works of Madame de Lafayette	1990-09-01	not citable	0.0	NA	NA	0
New Literary History	2009	['Michael Holquist']	Gambling with Kant: Faustian Wagers	['eng']	10532	article | research-article	10.2307/20533135	0	Gambling with Kant: Faustian Wagers	2009	found	1.12	New Literary History	M. Holquist	0
The Review of English Studies	1973	['Pat Rogers']	Review Article	['eng']	1055	article | book-review	10.2307/514700	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1982	['David Thomas']	Review Article	['eng']	1151	article | book-review	10.2307/3727580	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1989	['John Valdimir Price']	Review Article	['eng']	1151	article | book-review	10.2307/516022	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1990	['David Womersley']	Review Article	['eng']	1241	article | book-review	10.2307/515333	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1965	['J. D. Jump']	Review Article	['eng']	770	article | book-review	10.2307/513571	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1980	['Peter K. Jansen']	Review Article	['eng']	1898	article | book-review	10.2307/437612	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2005	['Mary Swan']	Review Article	['eng']	808	article | book-review	10.2307/3738063	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1978	['Richard Harrier']	Review Article	['eng']	1281	article | book-review	10.2307/3728159	6	Sir Thomas Wyatt: Collected poems		not citable	0.0	NA	NA	6
PMLA	1972	['anonymous']	Professional Notes and Comment	['eng']	7084	article | misc	10.2307/460919	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2015	['Ingunn Lunde']	Review Article	['eng']	1144	article | book-review	10.5699/modelangrevi.110.1.0310	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2009	['David Warner Smith']	Review Article	['eng']	438	article | book-review	10.2307/25655085	0		no date	not citable	0.0	NA	NA	0
ELH	1968	['Russell E. Smith, Jr.']	Adam's Fall	['eng']	4846	article | research-article	10.2307/2872172	2	Adam's Fall	1968-12-01	already found	0.0	NA	NA	2
The Review of English Studies	1995	['Peter Hollindale']	Review Article	['eng']	738	article | book-review	10.2307/518607	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2004	['Paul Bishop']	Review Article	['eng']	617	article | book-review	10.2307/3738959	1	Der pessimistische Humanismus: Thomas Manns lebensphilosophische Adaption der Schopenhauerschen Mitleidsethik by Thomas Klugkist (review)	2004-01-01	not citable	0.0	NA	NA	1
Critical Inquiry	2001	['Jonathan Lamb']	Modern Metamorphoses and Disgraceful Tales	['eng']	16591	article | research-article	10.2307/1344264	0	Modern Metamorphoses and Disgraceful Tales	2001	found	1.12	Critical Inquiry	J. Lamb	36
PMLA	2009	['Bruce Holsinger']	Of Pigs and Parchment: Medieval Studies and the Coming of the Animal	['eng']	4922	article | research-article	10.2307/25614305	0	Of Pigs and Parchment: Medieval Studies and the Coming of the Animal	2009	found	1.12	PMLA/Publications of the Modern Language Association of America	Bruce W. Holsinger	117
ELH	1999	['Blair Hoxby']	The Government of Trade: Commerce, Politics, and the Courtly Art of the Restoration	['eng']	15556	article | research-article	10.2307/30032087	0	The Government of Trade: Commerce, Politics, and the Courtly Art of the Restoration	1999	found	1.12	ELH	Blair Hoxby	32
PMLA	2003	['anonymous']	Back Matter	['eng']	435	article | misc	10.2307/823213	0		no date	not citable	0.0	NA	NA	0
ELH	1986	['anonymous']	Back Matter	['eng']	1360	article | misc	10.2307/2873180	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2004	['Jeffrey L. Sammons']	Review Article	['eng']	962	article | book-review	10.2307/3738597	1	Landmarks in German Short Prose	2004-10-01	not citable	0.0	NA	NA	1
PMLA	1997	['David Linton']	The Framing of Evidence	['eng']	1444	article | research-article	10.2307/462951	0	The Framing of Evidence	1997	found	1.12	PMLA/Publications of the Modern Language Association of America	David Linton	0
ELH	1988	['Stuart Peterfreund']	The Way of Immanence, Coleridge, and the Problem of Evil	['eng']	15327	article | research-article	10.2307/2873114	10	The Way of Immanence, Coleridge, and the Problem of Evil	1988-01-21	already found	0.0	NA	NA	10
The Modern Language Review	2007	['Philip Tew']	Review Article	['eng']	600	article | book-review	10.2307/20467469	66	Faculty Towers: The Academic Novel and Its Discontents		not citable	0.0	NA	NA	66
The Modern Language Review	1938	['L. W. Tancock']	Review Article	['eng']	1025	article | book-review	10.2307/3715715	1	The Sources of the Play 'Cyrano de Bergerac'	1938-10-01	not citable	0.0	NA	NA	1
The Review of English Studies	1968	['Alan MacColl']	A New Manuscript of Donne's Poems	['eng']	1070	article | research-article	10.2307/513143	0	A NEW MANUSCRIPT OF DONNE'S POEMS	1968	found	1.0	no journal listed	Alan Maccoll	0
The Modern Language Review	2004	['Susanne Stark']	Review Article	['eng']	901	article | book-review	10.2307/3738953	0	Goethe and the English-Speaking World: Essays from the Cambridge Symposium for His 250th Anniversary by Nicholas Boyle, John Guthrie (review)	2004-01-01	not citable	0.0	NA	NA	0
The Review of English Studies	1986	['R. K. R. Thornton']	Review Article	['eng']	1311	article | book-review	10.2307/517009	0		no date	not citable	0.0	NA	NA	0
New Literary History	1995	['Toril Moi']	"""Am I That Name?"" a Reply to Deborah Knight"	['eng']	2693	article | research-article	10.2307/20057266	0	"""Am I That Name"": Reply to Deborah Knight"	1995	found	1.0723809523809524	New Literary History	T. Moi	2
The Review of English Studies	1931	['Florence E. Teager']	"A Note on ""George Gascoigne and His Circle"""	['eng']	732	article | research-article	10.2307/507925	0	A NOTE ON “GEORGE GASCOIGNE AND HIS CIRCLE”	1931	found	1.0734883720930233	The Review of English Studies	Florence E. Teager	0
New Literary History	1996	['anonymous']	Volume Information	['eng']	1179	article | misc	10.2307/20057376	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1950	['Royston O. Jones']	"Some Notes on More's ""Utopia"" in Spain"	['eng']	2766	article | research-article	10.2307/3718955	3	"Some Notes on More's ""Utopia"" in Spain"	1950-10-01	already found	0.0	NA	NA	3
The Review of English Studies	1986	['G. R. Evans']	Review Article	['eng']	698	article | book-review	10.2307/516491	0		no date	not citable	0.0	NA	NA	0
Modern Philology	2004	['Paolo Cherchi']	Review Article	['eng']	1659	article | book-review	10.1086/423457	0	Literate Laughter: Critical Essays in Medieval Narrative. Theodore Silverstein. Edited by, John C. Jacobs. Forward by, Winthrop Wetherbee. Bern, Berlin, Brussels, Frankfurt, New York, Oxford, and Vienna: Peter Lang, 2002. Pp. 246.	2004-02-01	not citable	0.0	NA	NA	0
ELH	1970	['Lynn Veach Sadler']	Typological Imagery in Samson Agonistes: Noon and the Dragon	['eng']	6615	article | research-article	10.2307/2872397	1	Typological Imagery in Samson Agonistes: Noon and the Dragon	1970-06-01	already found	0.0	NA	NA	1
The Modern Language Review	1993	['Sharon Wood']	Review Article	['eng']	1196	article | book-review	10.2307/3734989	12	Contemporary Women Writers in Italy: A Modern Renaissance		not citable	0.0	NA	NA	12
ELH	2016	['JANE RAISCH']	"HUMANISM AND HELLENISM: LUCIAN AND THE AFTERLIVES OF GREEK IN MORE'S ""UTOPIA"""	['eng']	13493	article | research-article	10.2307/26173900	0	Humanism and Hellenism: Lucian and the Afterlives of Greek in More’s Utopia	2016	found	1.12	ELH	Jane Raisch	1
The Review of English Studies	1987	['Hilary Pyle']	Review Article	['eng']	1214	article | book-review	10.2307/515465	0		no date	not citable	0.0	NA	NA	0
PMLA	1993	['Kathryn Hume']	Ishmael Reed and the Problematics of Control	['eng']	9113	article | research-article	10.2307/462618	0	Ishmael Reed and the Problematics of Control	1993	found	1.12	PMLA/Publications of the Modern Language Association of America	K. Hume	13
The Modern Language Review	2000	['John Gornall']	Review Article	['eng']	2003	article | book-review	10.2307/3736437	1	One Man's Canon: Five Essays on Medieval Poetry for Stephen Reckert@@@From the Resende Songbook		not citable	0.0	NA	NA	1
The Review of English Studies	1952	['D. S. Bland']	Interludes in Fifteenth-Century Revels at Furnivall's Inn	['eng']	2510	article | research-article	10.2307/510336	0	INTERLUDES IN FIFTEENTH-CENTURY REVELS AT FURNIVALL'S INN	1952	found	1.12	The Review of English Studies	D. Bland	2
The Review of English Studies	1994	['Jonathan Bate']	Review Article	['eng']	771	article | book-review	10.2307/518222	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1978	['Michael Fixler']	Review Article	['eng']	1087	article | book-review	10.2307/514616	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1962	['Edwin Morgan', 'J. A. M. Rillie']	Summary of Periodical Literature	['eng']	2472	article | misc	10.2307/513706	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1967	['Bruce Mitchell']	Review Article	['eng']	535	article | book-review	10.2307/512295	0		no date	not citable	0.0	NA	NA	0
